Episode	Accumulated Reward	Average Reward	Length	Steps
0	-1.0000000000000004	-0.04761904761904764	21	21
1	1	1.0	1	22
2	-0.19999999999999996	-0.015384615384615398	13	35
3	-1.700000000000001	-0.060714285714285735	28	63
4	0.10000000000000009	0.009999999999999998	10	73
5	0.7	0.175	4	77
6	0.6	0.12	5	82
7	1	1.0	1	83
8	0.4	0.05714285714285715	7	90
9	-0.9999999999999999	-0.1	10	100
